#,Treatment,Repetition,Pressure,Nozzle,Dv 10 ,Dv 50 ,Dv 90,Span, % < 100 um, % < 150 um
4,"Engenia + FluiFlex 0,1%",C,3,TTI025,"         263,2",               640,"            1.212,0","                    1,5","                        0,5","                        2,8"
4,"Engenia + FluiFlex 0,1%",D,3,TTI025,"         259,0",               621,"            1.174,0","                    1,5","                        0,6","                        2,9"
4,"Engenia + FluiFlex 0,1%",A,5,TTI025,"         189,8",               452,"                857,6","                    1,5","                        1,5","                        5,6"
4,"Engenia + FluiFlex 0,1%",B,5,TTI025,"         188,7",               477,"                927,3","                    1,5","                        1,6","                        5,8"
4,"Engenia + FluiFlex 0,1%",C,5,TTI025,"         190,2",               480,"                956,8","                    1,6","                        1,3","                        5,4"
4,"Engenia + FluiFlex 0,1%",D,5,TTI025,"         183,5",               456,"                897,0","                    1,6","                        1,5","                        6,0"
4,"Engenia + FluiFlex 0,1%",E,5,TTI025,"         189,2",               489,"                963,9","                    1,6","                        1,5","                        5,8"
4,"Engenia + FluiFlex 0,1%",A,3,ULD025,"         152,5",               345,"                683,2","                    1,5","                        2,3","                        9,5"
4,"Engenia + FluiFlex 0,1%",B,3,ULD025,"         153,8",               350,"                695,3","                    1,5","                        2,4","                        9,3"
4,"Engenia + FluiFlex 0,1%",C,3,ULD025,"         151,2",               336,"                661,7","                    1,5","                        2,6","                        9,8"
4,"Engenia + FluiFlex 0,1%",D,3,ULD025,"         150,8",               337,"                660,8","                    1,5","                        2,6","                        9,8"
4,"Engenia + FluiFlex 0,1%",A,5,ULD025,"         122,8",               252,"                504,2","                    1,5","                        4,8","                      18,0"
4,"Engenia + FluiFlex 0,1%",B,5,ULD025,"         123,2",               253,"                513,0","                    1,5","                        4,8","                      17,9"
4,"Engenia + FluiFlex 0,1%",C,5,ULD025,"         121,1",               246,"                488,2","                    1,5","                        5,2","                      18,8"
4,"Engenia + FluiFlex 0,1%",D,5,ULD025,"         119,6",               248,"                499,8","                    1,5","                        5,4","                      19,1"
5,"Engenia + Mees 0,1%",A,3,ULDMax025,"         321,3",               791,"            1.488,0","                    1,5","                        1,0","                        3,0"
5,"Engenia + Mees 0,1%",B,3,ULDMax025,"         325,2",               812,"            1.543,0","                    1,5","                        0,8","                        2,6"
5,"Engenia + Mees 0,1%",C,3,ULDMax025,"         321,6",               799,"            1.488,0","                    1,5","                        0,9","                        3,2"
5,"Engenia + Mees 0,1%",D,3,ULDMax025,"         324,0",               749,"            1.393,0","                    1,4","                        0,8","                        2,7"
5,"Engenia + Mees 0,1%",A,5,ULDMax025,"         266,1",               640,"            1.193,0","                    1,4","                        1,1","                        3,5"
5,"Engenia + Mees 0,1%",B,5,ULDMax025,"         261,8",               617,"            1.160,0","                    1,5","                        1,1","                        3,6"
5,"Engenia + Mees 0,1%",C,5,ULDMax025,"         263,8",               622,"            1.151,0","                    1,4","                        1,0","                        3,5"
5,"Engenia + Mees 0,1%",D,5,ULDMax025,"         262,7",               655,"            1.226,0","                    1,5","                        1,0","                        3,8"
5,"Engenia + Mees 0,1%",E,5,ULDMax025,"         265,7",               631,"            1.210,0","                    1,5","                        1,1","                        3,7"
5,"Engenia + Mees 0,1%",A,3,TTI025,"         269,0",               712,"            1.396,0","                    1,6","                        0,7","                        3,0"
5,"Engenia + Mees 0,1%",B,3,TTI025,"         267,9",               696,"            1.372,0","                    1,6","                        0,6","                        2,8"
5,"Engenia + Mees 0,1%",C,3,TTI025,"         290,1",               666,"            1.221,0","                    1,4","                        0,5","                        2,6"
5,"Engenia + Mees 0,1%",D,3,TTI025,"         256,4",               654,"            1.259,0","                    1,5","                        0,7","                        3,2"
5,"Engenia + Mees 0,1%",A,5,TTI025,"         197,1",               500,"                992,6","                    1,6","                        1,2","                        5,0"
5,"Engenia + Mees 0,1%",B,5,TTI025,"         200,7",               508,"            1.021,0","                    1,6","                        1,2","                        4,9"
5,"Engenia + Mees 0,1%",C,5,TTI025,"         195,8",               506,"                981,6","                    1,6","                        1,2","                        5,3"
5,"Engenia + Mees 0,1%",D,5,TTI025,"         192,3",               503,"            1.004,0","                    1,6","                        1,3","                        5,4"
5,"Engenia + Mees 0,1%",E,5,TTI025,"         193,7",               504,"                970,5","                    1,5","                        1,3","                        5,4"
5,"Engenia + Mees 0,1%",A,3,ULD025,"         163,4",               378,"                734,7","                    1,5","                        2,1","                        7,9"
5,"Engenia + Mees 0,1%",B,3,ULD025,"         164,2",               372,"                714,6","                    1,5","                        2,1","                        7,8"
5,"Engenia + Mees 0,1%",C,3,ULD025,"         154,1",               342,"                669,2","                    1,5","                        2,2","                        9,2"
5,"Engenia + Mees 0,1%",D,3,ULD025,"         151,4",               336,"                647,2","                    1,5","                        2,6","                        9,7"
5,"Engenia + Mees 0,1%",A,5,ULD025,"         128,2",               265,"                529,3","                    1,5","                        4,2","                      16,0"
5,"Engenia + Mees 0,1%",B,5,ULD025,"         122,8",               254,"                511,4","                    1,5","                        4,9","                      17,9"
5,"Engenia + Mees 0,1%",C,5,ULD025,"         125,1",               259,"                522,9","                    1,5","                        4,6","                      17,0"
5,"Engenia + Mees 0,1%",D,5,ULD025,"         125,1",               258,"                522,7","                    1,5","                        4,5","                      17,2"
5,"Engenia + Mees 0,1%",E,5,ULD025,"         124,2",               261,"                529,3","                    1,6","                        4,7","                      17,2"
6,Engenia + Gly K,A,3,ULDMax025,"         340,0",               821,"            1.579,0","                    1,5","                        0,7","                        2,6"
6,Engenia + Gly K,B,3,ULDMax025,"         321,0",               872,"            1.690,0","                    1,6","                        0,3","                        1,6"
6,Engenia + Gly K,C,3,ULDMax025,"         215,8",               562,"            1.204,0","                    1,8","                        0,9","                        3,9"
6,Engenia + Gly K,D,3,ULDMax025,"         199,4",               511,"            1.093,0","                    1,7","                        1,3","                        4,9"
6,Engenia + Gly K,A,5,ULDMax025,"         140,8",               339,"                775,4","                    1,9","                        3,3","                      11,9"
6,Engenia + Gly K,B,5,ULDMax025,"         137,9",               355,"                824,7","                    1,9","                        3,8","                      12,3"
